code,description,group
A,White British,White
B,White Irish,White
C,Any other White background,White
D,White and Black Caribbean,Mixed
E,White and Black African,Mixed
F,White and Asian,Mixed
G,Any other mixed background,Mixed
H,Indian,Asian or Asian British
J,Pakistani,Asian or Asian British
K,Bangladeshi,Asian or Asian British
L,Any other Asian background,Asian or Asian British
M,Caribbean,Black or Black British
N,African,Black or Black British
P,Any other Black background,Black or Black British
R,Chinese,Other ethnic groups
S,Any other ethnic group,Other ethnic groups
Z,Not stated,Not stated
99,Not known,Not known